"name","url","pattern"
"В поисках мистера Дарси. 55 метафорических карт","https://www.labirint.ru/books/1008464/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Рено Рош - Войны Лукаса","https://www.labirint.ru/books/1008460/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Священник Павел Константинович Островский - Детям о Боге. Простые ответы","https://www.labirint.ru/books/1008459/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Филипп Боксо - Молчание мертвых. Как не дать им унести свои тайны в могилу","https://www.labirint.ru/books/1008458/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Зора Хёрстон - Их глаза видели Бога. Роман о любви и надежде","https://www.labirint.ru/books/1008456/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Николай Коняев - Генерал Власов. Анатомия предательства","https://www.labirint.ru/books/166742/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Одоевский, Ушинский - Хрестоматия для внеклассного чтения 1-4 класс","https://www.labirint.ru/books/472513/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Иван Рукавишников - Проклятый род","https://www.labirint.ru/books/640945/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Anna Schneider - Grenzfall. In der Stille des Waldes","https://www.labirint.ru/books/980193/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Dagmar Bach - Zimt und verwunscht","https://www.labirint.ru/books/980199/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Sam McBratney - Weißt du eigentlich, wie lieb ich dich hab?","https://www.labirint.ru/books/980202/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"William Golding - Herr der Fliegen","https://www.labirint.ru/books/980224/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Klaus-Peter Wolf - Ostfriesenblut","https://www.labirint.ru/books/980230/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Kerstin Gier - Das zweite Buch der Träume","https://www.labirint.ru/books/980233/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Christian Wunderlich - Dachs Naseweiß. Phantastische Geschichten aus dem Wunderlichen Wald","https://www.labirint.ru/books/980237/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"V. Schwab - Vengeful. Die Rache ist mein","https://www.labirint.ru/books/980238/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Tommy Jaud - Komm zu nix. Nix erledigt und trotzdem fertig","https://www.labirint.ru/books/980239/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Claudia Schaumann - Auf die Plätze, fertig, feiern!","https://www.labirint.ru/books/980246/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
