"name","url","pattern"
"Бумага упаковочная Pretty, горошекНа складе","https://www.labirint.ru/books/980148/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Бумага упаковочная Pretty, полоски","https://www.labirint.ru/books/980147/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Бумага упаковочная Pretty, белый","https://www.labirint.ru/books/980146/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Бумага упаковочная Brave, самолеты","https://www.labirint.ru/books/980145/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Бумага упаковочная Brave, пятнаНа складе","https://www.labirint.ru/books/980144/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Бумага упаковочная Tweed, клетка","https://www.labirint.ru/books/980143/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Бумага упаковочная Skate, сераяНа складе","https://www.labirint.ru/books/980142/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Бумага упаковочная Skate, голубая","https://www.labirint.ru/books/980141/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Бумага упаковочная Lucky, краснаяНа складе","https://www.labirint.ru/books/980140/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Бумага упаковочная Lucky, белаяНа складе","https://www.labirint.ru/books/980139/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Бумага упаковочная Christmas, елкиНа складе","https://www.labirint.ru/books/980138/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Бумага упаковочная New Year, розоваяНа складе","https://www.labirint.ru/books/980137/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Бумага упаковочная New Year, белаяНа складе","https://www.labirint.ru/books/980136/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Александра Яковлева: Иные","https://www.labirint.ru/books/980135/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Анна Орлова: Дюжина лазеекОжидается .stat-qtip { top: 15px; position: absolute; left: -8px; width: 220px; z-index:2; opacity:0; animation: showqtip 6s ease-in-out 1s, showqtip2 6s ease-in-out 1s; transition: opacity .2s ease-in-out .2s; overflow:hidden; } .stat-qtip__hint { border-radius: 6px; display:block; font-size: 14px; font-weight:normal; line-height: 20px; padding: 6px 10px; position: absolute; background: #ffb900; color: #000; max-width: 250px; min-width: 120px; right: 0; top: 20px; } .stat-qtip__hint:before { border-radius: 2px; border-style: solid; border-width: 10px 14px 12px 12px; content: """"; position: absolute; top: -15px; border-color: transparent transparent #ffb900; left: 5px; } @keyframes showqtip{0%{opacity:0;}30%{opacity:1; }70%{opacity:1;}100%{opacity:0;}} @keyframes showqtip2{0%{overflow:visible;}99%{overflow:visible;}100%{overflow:hidden}} .prodtitle-availibility:hover .stat-qtip {opacity:1;overflow:visible} @media (max-width: 440px) { .stat-qtip { left: 26px; width: 100%; } } К сожалению, точные сроки поступления неизвестны. Отложите книгу, мы известим о начале продаж.","https://www.labirint.ru/books/980134/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
